11x15
290 105 0 273; 335 102 14 273; 402 102 34 273; 471 100 54 273; 543 98 74 273; 614 96 94 273; 686 95 114 273; 758 94 134 273; 829 92 154 273; 901 90 174 273; 975 89 194 273
20 912 0 0; 94 919 14 0; 211 923 34 0; 337 928 54 0; 467 931 74 0; 601 934 94 0; 735 933 114 0; 871 933 134 0; 1007 932 154 0; 1136 924 174 0; 1260 915 194 0
281 129 0 260; 980 110 194 260
268 169 0 240; 993 145 194 240
252 205 0 220; 1008 183 194 220
234 244 0 200; 1023 223 194 200
218 285 0 180; 1041 267 194 180
202 333 0 160; 1059 313 194 160
184 384 0 140; 1079 366 194 140
163 440 0 120; 1098 422 194 120
141 501 0 100; 1120 486 194 100
121 570 0 80; 1142 555 194 80
98 643 0 60; 1169 633 194 60
71 725 0 40; 1198 719 194 40
47 814 0 20; 1229 813 194 20
